window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_12_03_03_00_03_15,fullset,BOTH,98,505.2,0,True,0.4000,0.382580,0.0174
25_12_03_12_00_12_15,fullset,BOTH,98,29.5,0,True,0.4000,0.636980,-0.2370
25_12_03_16_00_16_15,fullset,BOTH,98,129.3,0,True,0.4000,0.636185,-0.2362
25_12_03_17_00_17_15,fullset,BOTH,98,300.5,0,True,0.4000,0.471620,-0.0716
25_12_04_00_00_00_15,fullset,BOTH,98,209.2,0,True,0.4000,0.636980,-0.2370
25_12_04_04_00_04_15,fullset,BOTH,98,321.9,0,True,0.4000,0.348660,0.0513
25_12_04_07_00_07_15,fullset,BOTH,98,438.0,0,True,0.4000,0.585305,-0.1853
25_12_04_09_00_09_15,fullset,BOTH,98,124.9,0,True,0.4000,0.610745,-0.2107
25_12_04_11_00_11_15,fullset,BOTH,98,309.1,0,True,0.4000,0.620285,-0.2203
25_12_04_21_00_21_15,fullset,BOTH,98,298.5,0,True,0.4000,0.560660,-0.1607
25_12_04_23_00_23_15,fullset,BOTH,97,443.9,0,True,0.6000,0.437092,0.1629
25_12_05_05_00_05_15,fullset,BOTH,98,360.7,0,True,0.4000,0.398745,0.0013
25_12_05_06_00_06_15,fullset,BOTH,98,10.8,0,True,0.4000,0.627705,-0.2277
25_12_05_14_00_14_15,fullset,BOTH,98,75.7,0,True,0.4000,0.577620,-0.1776
25_12_05_18_00_18_15,fullset,BOTH,98,10.3,0,True,0.4000,0.615780,-0.2158
25_12_05_21_00_21_15,fullset,BOTH,98,363.9,0,True,0.4000,0.585305,-0.1853
25_12_05_22_00_22_15,fullset,BOTH,98,418.3,0,True,0.4000,0.610745,-0.2107
25_12_05_23_00_23_15,directional,DOWN,94,302.7,-1,True,0.6000,0.008460,0.5915
25_12_06_00_00_00_15,fullset,BOTH,98,208.0,0,True,0.4000,0.330905,0.0691
25_12_06_02_00_02_15,fullset,BOTH,95,500.4,0,True,1.0000,0.545287,0.4547
25_12_06_06_00_06_15,fullset,BOTH,97,435.5,0,True,0.6000,0.593507,0.0065
25_12_06_07_00_07_15,fullset,BOTH,97,425.1,0,True,0.6000,0.631657,-0.0317
25_12_06_08_00_08_15,fullset,BOTH,98,123.2,0,True,0.4000,0.633005,-0.2330
25_12_06_09_00_09_15,fullset,BOTH,98,86.1,0,True,0.4000,0.615780,-0.2158
25_12_06_10_00_10_15,directional,DOWN,92,540.0,-1,False,-9.2000,0.014720,-9.2147
25_12_06_10_00_10_15,fullset,BOTH,98,543.4,0,True,0.4000,0.234180,0.1658
25_12_06_14_00_14_15,fullset,BOTH,98,481.8,0,True,0.4000,0.634860,-0.2349
25_12_06_17_00_17_15,fullset,BOTH,95,487.2,0,True,1.0000,0.638437,0.3616
25_12_06_19_00_19_15,fullset,BOTH,98,167.7,0,True,0.4000,0.429485,-0.0295
25_12_06_21_00_21_15,fullset,BOTH,97,109.7,0,True,0.6000,0.639833,-0.0398
25_12_07_00_00_00_15,fullset,BOTH,97,298.0,0,True,0.6000,0.517208,0.0828
25_12_07_03_00_03_15,fullset,BOTH,98,500.6,0,True,0.4000,0.429485,-0.0295
25_12_07_05_00_05_15,fullset,BOTH,96,18.6,0,True,0.8000,0.635240,0.1648
25_12_07_07_00_07_15,directional,DOWN,92,256.2,-1,True,0.8000,0.014720,0.7853
25_12_07_09_00_09_15,fullset,BOTH,98,555.7,0,True,0.4000,0.348660,0.0513
25_12_07_11_00_11_15,fullset,BOTH,97,307.0,0,True,0.6000,0.607133,-0.0071
25_12_07_12_00_12_15,fullset,BOTH,98,160.9,0,True,0.4000,0.636185,-0.2362
25_12_07_13_00_13_15,fullset,BOTH,95,158.4,0,True,1.0000,0.609687,0.3903
