window_id,side,first_touch_time,entry_time,entry_price,spike_min,spike_max,exit_reason,exit_time,exit_price,pnl_per_share,pnl_invested,winner_at_settle,time_held,sl_triggered,tp_triggered,dynamic_sl_level
25_12_06_20_45_21_00,UP,3596.7,3606.7,91,90,94,SETTLEMENT_WIN,3599.597,100,0.09,0.0989,UP,-7.1,False,False,86
25_12_06_21_30_21_45,UP,2407.92,2417.92,91,90,93,TAKE_PROFIT,2439.358,97,0.06,0.0659,UP,21.44,False,True,86
25_12_07_01_00_01_15,UP,602.014,612.014,92,91,95,TAKE_PROFIT,635.643,97,0.05,0.0543,UP,23.63,False,True,86
25_12_07_01_45_02_00,DOWN,3401.474,3411.474,93,92,96,TAKE_PROFIT,3465.877,97,0.04,0.043,DOWN,54.4,False,True,86
25_12_07_02_30_02_45,DOWN,2310.995,2320.995,91,90,94,STOP_LOSS,2369.49,85,-0.06,-0.0659,DOWN,48.49,True,False,86
25_12_07_02_45_03_00,UP,3099.179,3109.179,91,91,93,TAKE_PROFIT,3215.673,97,0.06,0.0659,UP,106.49,False,True,86
25_12_07_03_30_03_45,UP,2276.314,2286.314,93,93,94,TAKE_PROFIT,2341.388,97,0.04,0.043,UP,55.07,False,True,86
25_12_07_04_30_04_45,DOWN,2190.041,2200.041,91,92,95,TAKE_PROFIT,2238.122,97,0.06,0.0659,DOWN,38.08,False,True,86
25_12_07_07_00_07_15,DOWN,255.771,265.77099999999996,92,92,96,TAKE_PROFIT,268.628,97,0.05,0.0543,DOWN,2.86,False,True,86
25_12_07_07_15_07_30,DOWN,1497.033,1507.033,93,92,96,TAKE_PROFIT,1528.073,97,0.04,0.043,DOWN,21.04,False,True,86
25_12_07_08_45_09_00,DOWN,3272.495,3282.495,92,93,95,TAKE_PROFIT,3301.206,97,0.05,0.0543,DOWN,18.71,False,True,86
25_12_07_10_00_10_15,UP,610.456,620.456,91,91,94,TAKE_PROFIT,629.553,97,0.06,0.0659,UP,9.1,False,True,86
25_12_07_10_15_10_30,DOWN,1501.454,1511.454,93,94,96,TAKE_PROFIT,1612.044,97,0.04,0.043,DOWN,100.59,False,True,86
25_12_07_12_30_12_45,UP,2578.714,2588.714,91,90,95,TAKE_PROFIT,2608.373,97,0.06,0.0659,UP,19.66,False,True,86
25_12_07_13_00_13_15,DOWN,630.623,640.623,91,91,95,TAKE_PROFIT,649.388,97,0.06,0.0659,DOWN,8.76,False,True,86
25_12_07_13_45_14_00,UP,3332.038,3342.038,91,90,94,TAKE_PROFIT,3396.637,97,0.06,0.0659,UP,54.6,False,True,86
25_12_07_14_15_14_30,DOWN,1372.464,1382.464,91,88,93,STOP_LOSS,1418.16,85,-0.06,-0.0659,DOWN,35.7,True,False,86
25_12_07_14_30_14_45,UP,2196.983,2206.983,91,90,94,STOP_LOSS,2242.962,85,-0.06,-0.0659,UP,35.98,True,False,86
25_12_07_15_00_15_15,UP,435.445,445.445,91,92,96,TAKE_PROFIT,446.716,97,0.06,0.0659,UP,1.27,False,True,86
25_12_07_15_15_15_30,DOWN,1684.696,1694.696,93,91,97,TAKE_PROFIT,1701.561,97,0.04,0.043,DOWN,6.87,False,True,86
25_12_07_16_15_16_30,UP,1670.632,1680.632,91,90,94,TAKE_PROFIT,1683.829,97,0.06,0.0659,UP,3.2,False,True,86
25_12_07_16_45_17_00,UP,3417.279,3427.279,91,93,97,TAKE_PROFIT,3427.411,97,0.06,0.0659,UP,0.13,False,True,86
25_12_07_19_00_19_15,UP,724.574,734.574,91,90,95,TAKE_PROFIT,737.78,97,0.06,0.0659,UP,3.21,False,True,86
25_12_07_19_15_19_30,DOWN,1297.213,1307.213,91,90,94,TAKE_PROFIT,1441.929,97,0.06,0.0659,DOWN,134.72,False,True,86
25_12_07_19_30_19_45,UP,2603.09,2613.09,91,90,96,TAKE_PROFIT,2616.883,97,0.06,0.0659,UP,3.79,False,True,86
25_12_07_19_45_20_00,DOWN,3402.468,3412.468,92,91,94,TAKE_PROFIT,3438.19,97,0.05,0.0543,UP,25.72,False,True,86
25_12_07_21_00_21_15,DOWN,360.758,370.758,91,89,93,TAKE_PROFIT,423.775,97,0.06,0.0659,DOWN,53.02,False,True,86
25_12_07_22_15_22_30,UP,1564.56,1574.56,91,90,97,TAKE_PROFIT,1574.611,97,0.06,0.0659,UP,0.05,False,True,86
25_12_07_22_30_22_45,UP,2056.659,2066.659,91,90,93,STOP_LOSS,2079.431,85,-0.06,-0.0659,UP,12.77,True,False,86
25_12_07_22_45_23_00,DOWN,3185.996,3195.996,92,90,97,TAKE_PROFIT,3273.022,97,0.05,0.0543,DOWN,77.03,False,True,86
25_12_07_23_30_23_45,DOWN,2350.76,2360.76,91,92,96,STOP_LOSS,2383.359,85,-0.06,-0.0659,DOWN,22.6,True,False,86
25_12_08_00_00_00_15,DOWN,405.036,415.036,91,90,93,STOP_LOSS,426.907,85,-0.06,-0.0659,DOWN,11.87,True,False,86
25_12_08_00_15_00_30,UP,1432.114,1442.114,91,90,94,STOP_LOSS,1488.507,85,-0.06,-0.0659,UP,46.39,True,False,86
25_12_08_00_30_00_45,UP,2100.567,2110.567,91,89,94,TAKE_PROFIT,2135.791,97,0.06,0.0659,UP,25.22,False,True,86
25_12_08_01_15_01_30,UP,1504.156,1514.156,91,91,93,TAKE_PROFIT,1544.826,97,0.06,0.0659,UP,30.67,False,True,86
25_12_08_01_45_02_00,DOWN,3188.639,3198.639,91,91,93,STOP_LOSS,3209.279,85,-0.06,-0.0659,DOWN,10.64,True,False,86
25_12_08_02_00_02_15,UP,687.023,697.023,91,89,97,STOP_LOSS,701.694,85,-0.06,-0.0659,UP,4.67,True,False,86
25_12_08_02_30_02_45,UP,2234.495,2244.495,91,91,98,TAKE_PROFIT,2267.207,97,0.06,0.0659,UP,22.71,False,True,86
25_12_08_02_45_03_00,UP,3293.188,3303.188,91,89,95,TAKE_PROFIT,3308.755,97,0.06,0.0659,UP,5.57,False,True,86
25_12_08_03_45_04_00,UP,3409.823,3419.823,92,92,95,TAKE_PROFIT,3423.022,97,0.05,0.0543,UP,3.2,False,True,86
25_12_08_04_00_04_15,UP,618.333,628.333,91,88,94,STOP_LOSS,657.66,85,-0.06,-0.0659,UP,29.33,True,False,86
25_12_08_04_15_04_30,UP,1532.89,1542.89,91,91,98,TAKE_PROFIT,1543.488,97,0.06,0.0659,UP,0.6,False,True,86
25_12_08_04_45_05_00,UP,3433.466,3443.466,91,90,95,TAKE_PROFIT,3462.021,97,0.06,0.0659,UP,18.56,False,True,86
25_12_08_05_00_05_15,DOWN,149.76,159.76,91,90,93,STOP_LOSS,168.54,85,-0.06,-0.0659,DOWN,8.78,True,False,86
25_12_08_06_00_06_15,UP,613.655,623.655,91,89,93,STOP_LOSS,639.883,85,-0.06,-0.0659,UP,16.23,True,False,86
25_12_08_06_30_06_45,UP,2254.696,2264.696,93,92,95,TAKE_PROFIT,2335.524,97,0.04,0.043,UP,70.83,False,True,86
25_12_08_06_45_07_00,DOWN,3442.988,3452.988,91,89,95,TAKE_PROFIT,3456.989,97,0.06,0.0659,DOWN,4.0,False,True,86
25_12_08_08_00_08_15,UP,843.222,853.222,91,90,96,TAKE_PROFIT,854.917,97,0.06,0.0659,UP,1.7,False,True,86
25_12_08_09_00_09_15,UP,320.462,330.462,91,90,94,TAKE_PROFIT,362.474,97,0.06,0.0659,UP,32.01,False,True,86
25_12_08_09_30_09_45,UP,2627.346,2637.346,91,91,95,TAKE_PROFIT,2639.477,97,0.06,0.0659,UP,2.13,False,True,86
25_12_08_10_00_10_15,UP,673.398,683.398,91,90,98,TAKE_PROFIT,683.77,97,0.06,0.0659,UP,0.37,False,True,86
25_12_08_10_15_10_30,DOWN,1732.893,1742.893,91,90,96,TAKE_PROFIT,1743.505,97,0.06,0.0659,UP,0.61,False,True,86
25_12_08_11_15_11_30,DOWN,1636.813,1646.813,92,90,95,TAKE_PROFIT,1680.858,97,0.05,0.0543,DOWN,34.04,False,True,86
25_12_08_12_30_12_45,DOWN,2335.292,2345.292,91,88,93,TAKE_PROFIT,2398.846,97,0.06,0.0659,DOWN,53.55,False,True,86
25_12_08_12_45_13_00,UP,3532.889,3542.889,91,89,95,TAKE_PROFIT,3550.181,97,0.06,0.0659,UP,7.29,False,True,86
25_12_08_13_15_13_30,DOWN,1389.581,1399.581,91,89,93,TAKE_PROFIT,1455.737,97,0.06,0.0659,DOWN,56.16,False,True,86
25_12_08_13_30_13_45,DOWN,2401.369,2411.369,91,90,94,TAKE_PROFIT,2428.972,97,0.06,0.0659,DOWN,17.6,False,True,86
25_12_08_14_00_14_15,UP,884.669,894.669,93,92,99,SETTLEMENT_WIN,887.325,100,0.07,0.0753,UP,-7.34,False,False,86
25_12_08_14_15_14_30,DOWN,1366.114,1376.114,91,89,96,TAKE_PROFIT,1380.605,97,0.06,0.0659,DOWN,4.49,False,True,86
25_12_08_15_15_15_30,DOWN,1502.887,1512.887,91,88,93,TAKE_PROFIT,1536.634,97,0.06,0.0659,DOWN,23.75,False,True,86
25_12_08_16_00_16_15,UP,807.286,817.286,91,90,97,STOP_LOSS,820.271,85,-0.06,-0.0659,DOWN,2.99,True,False,86
25_12_08_17_45_18_00,UP,3201.796,3211.796,91,90,93,STOP_LOSS,3228.457,85,-0.06,-0.0659,UP,16.66,True,False,86
25_12_08_19_00_19_15,UP,403.928,413.928,91,91,93,STOP_LOSS,533.87,85,-0.06,-0.0659,UP,119.94,True,False,86
25_12_08_19_15_19_30,UP,1634.56,1644.56,91,90,95,TAKE_PROFIT,1665.433,97,0.06,0.0659,UP,20.87,False,True,86
25_12_08_20_30_20_45,UP,2457.902,2467.902,91,90,93,TAKE_PROFIT,2508.629,97,0.06,0.0659,UP,40.73,False,True,86
25_12_08_20_45_21_00,UP,3179.139,3189.139,91,88,93,TAKE_PROFIT,3230.255,97,0.06,0.0659,UP,41.12,False,True,86
25_12_08_21_45_22_00,UP,3223.669,3233.669,92,92,93,TAKE_PROFIT,3405.509,97,0.05,0.0543,UP,171.84,False,True,86
25_12_08_22_00_22_15,DOWN,540.391,550.391,92,91,95,TAKE_PROFIT,571.544,97,0.05,0.0543,DOWN,21.15,False,True,86
25_12_08_22_15_22_30,DOWN,1561.304,1571.304,91,90,95,TAKE_PROFIT,1589.32,97,0.06,0.0659,DOWN,18.02,False,True,86
25_12_08_22_30_22_45,DOWN,2190.477,2200.477,91,91,95,STOP_LOSS,2284.841,85,-0.06,-0.0659,DOWN,84.36,True,False,86
25_12_09_00_30_00_45,DOWN,1927.343,1937.343,91,90,94,STOP_LOSS,2111.508,85,-0.06,-0.0659,DOWN,174.16,True,False,86
25_12_09_01_00_01_15,UP,845.773,855.773,93,93,98,TAKE_PROFIT,856.395,97,0.04,0.043,UP,0.62,False,True,86
25_12_09_02_15_02_30,UP,1415.709,1425.709,91,90,94,STOP_LOSS,1449.709,85,-0.06,-0.0659,UP,24.0,True,False,86
25_12_09_02_45_03_00,DOWN,3285.743,3295.743,91,91,95,TAKE_PROFIT,3299.238,97,0.06,0.0659,DOWN,3.49,False,True,86
25_12_09_03_15_03_30,UP,1567.829,1577.829,91,91,97,STOP_LOSS,1580.814,85,-0.06,-0.0659,UP,2.99,True,False,86
25_12_09_05_00_05_15,DOWN,556.066,566.066,91,90,93,TAKE_PROFIT,602.592,97,0.06,0.0659,DOWN,36.53,False,True,86
25_12_09_05_15_05_30,UP,1639.709,1649.709,93,92,97,TAKE_PROFIT,1660.325,97,0.04,0.043,UP,10.62,False,True,86
25_12_09_05_30_05_45,UP,2083.0,2093.0,91,93,95,TAKE_PROFIT,2195.177,97,0.06,0.0659,UP,102.18,False,True,86
25_12_09_06_00_06_15,UP,325.037,335.037,91,91,93,TAKE_PROFIT,347.25,97,0.06,0.0659,UP,12.21,False,True,86
25_12_09_06_30_06_45,UP,2529.702,2539.702,93,91,95,STOP_LOSS,2543.41,84,-0.09,-0.0968,UP,3.71,True,False,86
25_12_09_06_45_07_00,UP,3015.839,3025.839,91,91,93,TAKE_PROFIT,3065.105,97,0.06,0.0659,UP,39.27,False,True,86
25_12_09_07_00_07_15,DOWN,865.845,875.845,91,89,99,TAKE_PROFIT,879.106,97,0.06,0.0659,DOWN,3.26,False,True,86
25_12_09_07_15_07_30,UP,1234.867,1244.867,92,92,93,TAKE_PROFIT,1269.932,97,0.05,0.0543,UP,25.07,False,True,86
25_12_09_07_45_08_00,UP,3580.522,3590.522,91,90,99,TAKE_PROFIT,3590.876,97,0.06,0.0659,UP,0.35,False,True,86
25_12_09_08_45_09_00,DOWN,3478.332,3488.332,91,90,93,STOP_LOSS,3499.688,85,-0.06,-0.0659,DOWN,11.36,True,False,86
25_12_09_09_45_10_00,DOWN,3529.08,3539.08,91,95,98,TAKE_PROFIT,3540.723,97,0.06,0.0659,DOWN,1.64,False,True,86
25_12_09_11_15_11_30,UP,1742.35,1752.35,93,91,96,TAKE_PROFIT,1766.97,97,0.04,0.043,UP,14.62,False,True,86
