window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_01_18_00_18_15,DOWN,13,657.627,3,691.718,-10
25_11_01_19_00_19_15,UP,42,11.451,24,41.626,-18
25_11_01_19_00_19_15,UP,21,67.747,11,97.827,-10
25_11_01_20_00_20_15,DOWN,55,12.5,49,51.072,-6
25_11_01_20_00_20_15,DOWN,34,298.1,27,328.347,-7
25_11_01_20_00_20_15,UP,78,421.513,69,451.642,-9
25_11_01_20_00_20_15,DOWN,31,589.751,17,620.768,-14
25_11_01_20_00_20_15,DOWN,3,724.301,0,754.792,-3
25_11_01_21_00_21_15,UP,50,173.109,44,205.914,-6
25_11_01_21_00_21_15,UP,40,362.729,32,394.481,-8
25_11_01_21_00_21_15,UP,30,482.72,14,514.151,-16
25_11_01_22_00_22_15,DOWN,24,143.293,15,173.995,-9
25_11_01_22_00_22_15,UP,85,183.04,70,213.688,-15
25_11_01_22_00_22_15,DOWN,31,246.642,21,279.139,-10
25_11_01_22_00_22_15,DOWN,13,383.187,10,417.313,-3
25_11_01_22_00_22_15,DOWN,6,513.021,1,546.99,-5
25_11_01_23_00_23_15,DOWN,53,14.428,47,46.197,-6
25_11_01_23_00_23_15,UP,45,67.662,22,97.964,-23
25_11_01_23_00_23_15,DOWN,80,471.96,69,501.977,-11
25_11_01_23_00_23_15,UP,28,528.554,15,558.694,-13
25_11_01_23_00_23_15,DOWN,78,561.084,71,591.679,-7
25_11_01_23_00_23_15,UP,19,622.557,15,661.528,-4
25_11_02_00_00_00_15,DOWN,51,58.332,38,88.435,-13
25_11_02_00_00_00_15,UP,41,143.403,33,173.446,-8
25_11_02_00_00_00_15,DOWN,73,418.725,60,448.825,-13
25_11_02_00_00_00_15,UP,33,506.84,16,540.122,-17
25_11_02_00_00_00_15,UP,16,541.072,10,575.67,-6
25_11_02_01_00_01_15,UP,62,268.992,39,300.348,-23
25_11_02_01_00_01_15,DOWN,85,610.792,71,641.004,-14
25_11_02_01_00_01_15,DOWN,57,707.94,21,739.007,-36
25_11_02_01_00_01_15,DOWN,4,801.52,0,818.267,-4
25_11_02_02_00_02_15,UP,42,9.119,28,40.311,-14
25_11_02_02_00_02_15,DOWN,84,281.894,76,311.901,-8
25_11_02_02_00_02_15,DOWN,83,371.898,78,401.97,-5
25_11_02_02_00_02_15,DOWN,85,582.505,79,612.775,-6
25_11_02_02_00_02_15,DOWN,75,635.193,70,667.19,-5
25_11_02_02_00_02_15,DOWN,77,745.247,46,775.979,-31
25_11_02_02_00_02_15,DOWN,47,783.565,2,814.665,-45
25_11_02_03_00_03_15,DOWN,52,143.027,39,174.884,-13
25_11_02_03_00_03_15,UP,47,365.038,41,398.779,-6
25_11_02_03_00_03_15,UP,33,400.806,15,431.934,-18
25_11_02_03_00_03_15,DOWN,78,728.703,60,759.163,-18
25_11_02_03_00_03_15,DOWN,24,771.761,44,801.81,20
25_11_02_03_00_03_15,UP,61,837.379,37,867.843,-24
25_11_02_04_00_04_15,DOWN,55,185.809,39,219.459,-16
25_11_02_04_00_04_15,DOWN,50,365.704,32,396.41,-18
25_11_02_04_00_04_15,DOWN,31,459.536,17,495.002,-14
25_11_02_04_00_04_15,DOWN,16,528.879,4,558.984,-12
25_11_02_05_00_05_15,DOWN,58,7.118,54,37.201,-4
25_11_02_05_00_05_15,DOWN,58,281.712,40,312.039,-18
25_11_02_05_00_05_15,DOWN,77,396.214,63,426.49,-14
25_11_02_05_00_05_15,UP,31,489.094,10,519.271,-21
25_11_02_06_00_06_15,UP,54,15.074,35,45.506,-19
25_11_02_06_00_06_15,DOWN,67,88.802,47,118.842,-20
25_11_02_06_00_06_15,UP,37,147.703,23,179.471,-14
25_11_02_06_00_06_15,UP,32,527.612,19,558.415,-13
25_11_02_07_00_07_15,UP,35,124.724,28,154.774,-7
