episode_id,market_id,window_id,start_ts,end_ts,total_trades,net_up,net_down,matched_shares,avg_cost_matched,has_merge,has_redeem,merge_delay_s,label,confidence,realized_pnl,realized_via,is_realized
0x66be6f586a0f337c27_2026-01-06T01:32:01,0x66be6f586a0f337c273574ae1e53c32f5433e4f65e27b27e5c2503a6d4eacb07,,2026-01-06T01:32:01,2026-01-06T01:40:45,2750,312942.3099999948,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xd44a1b540281c51c91_2026-01-06T01:32:15,0xd44a1b540281c51c919f46f1fc9e3aab739d37071ea764f351eb5edd4494c9ce,btc-updown-15m-1767643200,2026-01-06T01:32:15,2026-01-06T01:43:31,1007,872.8,15723.740000000002,872.8,1.0344438161921061,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x0cc7cdfc02fc4b3936_2026-01-06T01:36:55,0x0cc7cdfc02fc4b3936db853d36e608dc56bd4010f3078f3673f8d2528e105a22,,2026-01-06T01:36:55,2026-01-06T01:47:05,6,325.39,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x48aad3f3340f96580f_2026-01-06T01:45:37,0x48aad3f3340f96580f01779c76d1afa944daadbb7bb860524ca33762a84d75c6,btc-updown-15m-1767644100,2026-01-06T01:45:37,2026-01-06T01:55:41,15,579.59,667.49,579.59,1.2885590121162835,False,False,,FULL_SET_ARB,0.4,,,False
0x84a52b744da37a1c08_2026-01-06T01:46:05,0x84a52b744da37a1c08121fddf3d608cd83e0fc61b17ac2ad34d8fe45557c0606,,2026-01-06T01:46:05,2026-01-06T01:55:41,14,697.03,412.95,412.95,1.0892584264389602,False,False,,UNKNOWN,0.0,,,False
0x11dbc123a279ee0834_2026-01-06T02:00:11,0x11dbc123a279ee0834f4509b6043538bce9f0dcb8cd41e77b0d781ba4a0b08e8,,2026-01-06T02:00:11,2026-01-06T02:00:23,3,0.0,263.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.5,,,False
0x0cc7cdfc02fc4b3936_2026-01-06T02:01:03,0x0cc7cdfc02fc4b3936db853d36e608dc56bd4010f3078f3673f8d2528e105a22,,2026-01-06T02:01:03,2026-01-06T02:28:49,14,199.98000000000002,590.5999999999999,199.98000000000002,0.7851936928200101,False,False,,FULL_SET_ARB,0.3,,,False
0x213c6c5ce7bcc0af59_2026-01-06T02:15:05,0x213c6c5ce7bcc0af59c246717c56ee1807cd98bdffcedc41d82c8a6e9630f740,,2026-01-06T02:15:05,2026-01-06T02:16:39,3,181.0,121.0,121.0,1.058378156248573,False,False,,HYBRID,0.2,,,False
0x32a3ce3f6861811504_2026-01-06T02:17:49,0x32a3ce3f68618115040e96cb00480e1af3c2d809318c9c46fd15a410ce73e740,btc-updown-15m-1767645900,2026-01-06T02:17:49,2026-01-06T02:29:05,15,894.39,1145.72,894.39,1.1937242329833142,False,False,,FULL_SET_ARB,0.4,,,False
0xebf75d3bd0637bdcfb_2026-01-06T02:30:07,0xebf75d3bd0637bdcfbbe40c6798dc45e18f040a3863b978dd248ef18a4538371,,2026-01-06T02:30:07,2026-01-06T02:42:55,12,286.59000000000003,588.5,286.59000000000003,0.8750893097617569,False,False,,FULL_SET_ARB,0.3,,,False
